Module,Class,Method,UTCID,Test Case (test method name),Precondition,Input,Expected Result,Exception,Case Type (N/A/B),Status,Exec Date,Defect ID,Created By,Executed By
AI Assistant,VectorUtil,toJson/fromJson,UTC01,toJsonThenFromJsonShouldRoundTripVector,—,vector=[0.1,0.2,0.3],fromJson(toJson(v)) equals original vector,None,N,Passed,2026-08-17,,DucPM,Claude
AI Assistant,VectorUtil,cosineSimilarity,UTC02,cosineSimilarityShouldReturnOneForIdenticalVectors,—,a=b=[1,2,3],1.0,None,N,Passed,2026-08-17,,DucPM,Claude
AI Assistant,VectorUtil,cosineSimilarity,UTC03,cosineSimilarityShouldReturnZeroForOrthogonalVectors,—,"a=[1,0], b=[0,1]",0.0,None,B,Passed,2026-08-17,,DucPM,Claude
AI Assistant,VectorUtil,cosineSimilarity,UTC04,cosineSimilarityShouldReturnNegativeOneForOppositeVectors,—,"a=[1,0], b=[-1,0]",-1.0,None,B,Passed,2026-08-17,,DucPM,Claude
AI Assistant,VectorUtil,cosineSimilarity,UTC05,cosineSimilarityShouldThrowWhenDimensionsMismatch,—,a has 2 dims, b has 3 dims,Error,IllegalArgumentException: 'Hai vector phải cùng số chiều để so sánh',A,Passed,2026-08-17,,DucPM,Claude
AI Assistant,VectorUtil,cosineSimilarity,UTC06,cosineSimilarityShouldReturnZeroWhenEitherVectorIsAllZeros,—,"a=[0,0], b=[1,1]",0.0 (guards against divide-by-zero),None,B,Passed,2026-08-17,,DucPM,Claude
AI Assistant,VectorUtil,fromJson,UTC07,fromJsonShouldThrowRuntimeExceptionWhenJsonIsMalformed,—,json="not valid json",Error,RuntimeException: 'Không thể parse embedding vector từ DB' (wraps Jackson parse failure),A,Passed,2026-08-17,,DucPM,Claude
AI Assistant,AIPromptBuilder,buildSystemPrompt,UTC01,buildSystemPromptShouldIncludeLessonTitleAndContent,—,"lesson{title, content}",prompt string contains both title and content,None,N,Passed,2026-08-17,,DucPM,Claude
AI Assistant,AIPromptBuilder,buildSystemPrompt,UTC02,buildSystemPromptShouldNoteNoPracticeQuestionsWhenListEmpty,practiceQuestions=[],—,prompt contains 'Không có bài tập luyện tập cho bài học này',None,B,Passed,2026-08-17,,DucPM,Claude
AI Assistant,AIPromptBuilder,buildSystemPrompt,UTC03,buildSystemPromptShouldIncludePracticeQuestionTextAndOptions,1 practice question with options+explanation,—,"prompt contains question text, option text, explanation text",None,N,Passed,2026-08-17,,DucPM,Claude
AI Assistant,AIPromptBuilder,buildSystemPrompt,UTC04,buildSystemPromptShouldIncludePassageWhenPresent,practice question has a reading passage,—,prompt contains the passage text,None,B,Passed,2026-08-17,,DucPM,Claude
AI Assistant,AIPromptBuilder,buildSystemPrompt,UTC05,buildSystemPromptSingleArgOverloadShouldDelegateToListOverload,—,1-arg overload call,behaves same as calling with empty practiceQuestions list,None,B,Passed,2026-08-17,,DucPM,Claude
AI Assistant,AIPromptBuilder,buildOutOfScopeFallback,UTC06,buildOutOfScopeFallbackShouldMentionLessonTitle,—,lesson.title='Present Perfect',fallback string contains 'Present Perfect',None,N,Passed,2026-08-17,,DucPM,Claude
AI Assistant,ScopeGuardrailService,checkScope,UTC01,checkScopeShouldSkipEmbeddingCheckForVeryShortMessages,—,userMessage='hi' (< 8 chars),"ScopeCheckResult{inScope=true, similarity=1.0}; generateEmbedding never called",None,B,Passed,2026-08-17,,DucPM,Claude
AI Assistant,ScopeGuardrailService,checkScope,UTC02,checkScopeShouldReturnInScopeWhenSimilarityAboveThreshold,threshold=0.7; both embeddings identical vector,userMessage='What is present perfect tense?',"ScopeCheckResult{inScope=true, similarity=1.0}",None,N,Passed,2026-08-17,,DucPM,Claude
AI Assistant,ScopeGuardrailService,checkScope,UTC03,checkScopeShouldReturnOutOfScopeWhenSimilarityBelowThreshold,threshold=0.7; embeddings orthogonal (similarity=0),userMessage='What's the weather today?',ScopeCheckResult{inScope=false},None,N,Passed,2026-08-17,,DucPM,Claude
AI Assistant,ScopeGuardrailService,checkScope,UTC04,checkScopeShouldFallBackToInScopeWhenEmbeddingCallThrows,geminiClientService.generateEmbedding() throws RuntimeException,—,"ScopeCheckResult{inScope=true, similarity=1.0} — fails open so Gemini chat itself can decline gracefully rather than hard-blocking on an API error",None (internally caught),B,Passed,2026-08-17,,DucPM,Claude
AI Assistant,ScopeGuardrailService,checkScope,UTC05,checkScopeShouldIncludePracticeQuestionTextInScopeEmbeddingInput,1 practice question with distinctive question text,—,the text passed to generateEmbedding() for the 'scope' side contains the practice question's text,None,N,Passed,2026-08-17,,DucPM,Claude
AI Assistant,ScopeGuardrailService,checkScope,UTC06,checkScopeTwoArgOverloadShouldUseEmptyPracticeQuestionsList,—,2-arg overload call,behaves same as passing an empty practiceQuestions list,None,B,Passed,2026-08-17,,DucPM,Claude
